Nombre Peaje,Latitud,Longitud,Operador,Tipo Operador,Ubicacion,Sector,Tarifa Categoria I,Tarifa Categoria II,Tarifa Categoria III,Territorial,Telefono Peaje,Telefono Grua,Ficha Oficial INVIAS
LOBOGUERRERO,3.76300400000002,-76.6655939999999,CONSORCIO NQS,Concesión,VÍA BUENAVENTURA - BUGA KM 63+700 Tramo que cubre: Desde el PR 63+310 en Loboguerrero y finaliza en el PR 118+418 en Buga,Cruce Ruta 40 (Loboguerrero) - Buga,$10.300,$11.500,$27.400,25,3228171095,3228171095,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
MANGUITOS,8.30157200000002,-75.530099,Concesión Ruta al Mar,Concesión,Vía Caucasia – Planeta Rica (Municipio de Plaza Bonita) Cubre Tramo Buenavista – Planeta Rica,Caucasia - Planeta Rica,$16.100,$23.700,$23.700,11,,3216177100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
RÍO BOGOTÁ,4.69870000000003,-74.179344,INVIAS,INVIAS,Fontibon - Mosquera,Los Alpes - Madrid - Bogotá (Rio Bogotá),$11.800,$17.600,$15.400,12,3792200 – 8930977,300 2134184 - 310 3042774 - #235 Tigo - Movistar y Claro,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
BOQUERÓN II,4.45458400000007,-74.05033,COVIANDINA S.A.S.,Concesión,Vía Rio Negro – San Alberto Km 53+100,Río Negro - San Alberto,$16.500,$48.500,$24.500,12,3123063223 - 3123030336 – 3105851322,3123060332 - 3105851322 -3105851325 y #713,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
IRACÁ,3.63303700000006,-73.706421,Concesión Autopistas de los Llanos,Concesión,Vía Villavicencio – Granada Km 7+200,Ye de Granada - Paso por el Puente sobre el Río Ocoa,$13.100,$25.300,$19.200,16,(8) 6700868 - #765 018000918624,(578) 668 49 90-91,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
LOS GARZONES 1,8.84519800000004,-75.824585,INVIAS,INVIAS,Vía Monteria - Lorica Km. 1 más 320 metros,Montería - Cereté,$6.100,$15.600,$24.200,11,3124964386,3184095455 – 3182406622,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
EL PICACHO,7.10796900000003,-72.9689789999999,INVIAS,INVIAS,Bucaramanga - Pamplona,Cuestaboba - Pamplona,$12.400,$13.900,$28.400,22,3124516349 - 3176462257 y 3004723174,3124516349 - 3176462257 y 3004723174,http://hermes.invias.gov.co/carreteras/images/peajes/el_picacho.jpg
EL CORZO,4.74872200000004,-74.291145,INVIAS,INVIAS,El Corzo - Madrid,El Corzo - Madrid,$11.800,$17.600,$15.400,12,3792200 – 8930977 300 2134184 - 310 3042774 - #235 Tigo - Movistar y Claro,(571) 893 09 77,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
NIQUÍA,6.34510075000003,-75.526595507,Concesión Hatovial S.A.S,Concesión,Km 15+000 Autopista norte,Medellìn - Hoyo Rico,$2.500,$2.500,$3.200,1,4678141 - 3108992853 - 3108992853 - 2544670 - 01-8000-522-44-77,(054) 312 11 99-325 06 60,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
PARAGUACHÓN,11.3676140000001,-72.156624,Concesión Santa Marta Paraguachón S.A,Concesión,Ubicación: 84+475 Tramo que cubre:Cuatro vías - Paraguachón,Riohacha - Paraguachón,$12.300,$19.000,$15.300,13,3143300807 - (5) 7288542 /43,(5) 728 85 43,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
GUAYABAL,4.88341307600007,-74.4831854,CONCESIÓN PANAMERICANA,Concesión,Peaje Rio Bogotá – Facatativa – Villeta – Viani – Cambao Km 63 Jurisdicción del Municipio de Guayabal,Guayabal de Síquima - Cambao,$12.400,$16.800,$14.100,12,3184666166,3138879089,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CISNEROS,6.53633000000002,-75.074777,Concesión Vías del Nus – VINUS S.A.S,Concesión,KM 03+000 RUTA 6206. Via Cisneros - Puerto Berrio,Cisneros - Alto de Dolores,$18.000,$21.900,$21.900,1,321 812 2264,311 739 5570 – 018000413724 – (4) 8603102,http://hermes.invias.gov.co/carreteras/images/peajes/cisneros.jpg
PAVAS (TRINIDAD I),5.02706200000006,-75.587418,CONCESIÓN AUTOPISTAS DEL CAFE,Concesión,Club Campestre – La Trinidad Km. 1 + 200,Club Campestre - La Trinidad,$14.600,$17.500,$17.500,5,(6) 3282720,3138176567 #850,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
SAN PEDRO (Barranca de Upía - Monterrey),4.67860900000005,-72.943748,Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión,Villanueva - Monterrey Km.15+000,Barranca de Upía - Monterrey,$10.800,$11.600,$24.600,7,3168341260,3178942293 - 018000180818,http://hermes.invias.gov.co/carreteras/images/peajes/san_pedro.jpg
PUERTO BERRÍO,6.49666200000007,-74.501381,Concesión Autopistas del Río Magdalena,Concesión,Vía Alto de Dolores - Puerto Berrío,Cisneros - Puerto Berrío (Incluye el Puente sobre el Río Magdalena),$10.900,$12.100,$12.100,1,3183729221,0348326778,http://hermes.invias.gov.co/carreteras/images/peajes/puerto_berrio.jpg
ANDES,4.83000300000003,-74.033081,CONCESIÓN ACCENORTE,Concesión,Sector Bogotá (calle 236)-Briceño,Bogotá-La Caro-Tunja,$11.100,$19.200,$12.500,12,6760652 - 6762948 3125194023 – 3125196546,676 06 52,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
CALAMAR,10.208106,-74.945015,Concesión Montes de Maria,Concesión,Tramo que cubre:Vía Aguztín Codazzi - San Diego,San Roque - La Paz,$16.300,$20.100,$25.000,2,3162954845,3162954845 - #270 Claro,http://hermes.invias.gov.co/carreteras/images/peajes/calamar.jpg
SUPÍA,5.39159787600005,-75.599995129,Concesión Pacífico Tres,Concesión,Vía La Felisa – La Pintada,La Felisa - La Pintada,$16.100,$21.300,$21.300,5,3219738470,LINEA GRATUITA: 018000423780 LINEA CELULAR: 3219738470,http://hermes.invias.gov.co/carreteras/images/peajes/supia.jpg
EL PATÁ,3.39378700000003,-75.2037579999999,Concesión Autovía Neiva – Girardot,Concesión,Vía Neiva – Castilla Km 54+400 Jurisdicción de Aipe,Neiva - Natagaima,$15.700,$19.400,$23.900,14,3153340727 – 3174340907 - 3502621485,667 10 30,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg
