id,nombre,nombre_display,lat,lon,ubicacion,sector,sentido,pr,distancia_pr_m,telefono_grua,telefono_peaje,url_ficha,tarifa_cat1,operador,operador_tipo,codigo_peaje,codigo_tramo,territorial
tunia-siniestrada,TUNIA (SINIESTRADA),TUNIA (SINIESTRADA),2.70169011300004,-76.536811321,Kilometro 31+100 Vía Panamericana Popayan – Cali,Popayán - Jamundí,Sur – Norte // Norte – Sur,30,"1,053",,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4805.pdf,,INVIAS,INVIAS,13,2504,8
estambul,ESTAMBUL,ESTAMBUL,3.50073900000007,-76.4430649999999,Vía Cali – Andalucía Km 5,Cali - Palmira - Buga,Sur - Norte,4,954,,,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/4804.pdf,11100,CONCESION ANI,Concesión,14,2505,25
corredor-portuario,CORREDOR PORTUARIO,CORREDOR PORTUARIO,10.957823864,-74.766759404,,Calle 6,,0,0,,,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,6400,,Por definir,178,,2
pasacaballos,PASACABALLOS,PASACABALLOS,10.2445070000001,-75.445772,Variante de Gambote,Variante de Gambote,Sur - Norte // Norte - Sur,17,240,321 205 72 27,,,11400,AUTOPISTAS DEL SOL S.A.,Concesión,149,90BLB,3
los-garzones-2,LOS GARZONES 2,LOS GARZONES 2,8.82778300000007,-75.836761,Vía Monteria - Lorica Km. 1 más 320 metros,Montería - Cereté,GARZONES 2 NORTE - SUR.,6,130,3184095455 – 3182406622,3124964386,,6100,INVIAS,INVIAS,135,2103,11
naranjal,NARANJAL,NARANJAL,4.27987200000007,-73.834808,Caqueza – Guayabetal Km 44+700,Bogotá (El Portal) - Villavicencio,Occidente – Oriente // Oriente – Occidente,50,166,3123060332 - 3105851322 -3105851325 y #713,3144360298 // 3123060332 - 3105851322,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,14100,COVIANDINA S.A.S.,Concesión,57,4006,12
morrison,MORRISON,MORRISON,8.09234900000007,-73.560015,Km 28+500 Vía San Alberto – Aguaclara,San Alberto - La Mata,Norte – Sur – Norte,39,653,,3165280395,https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3995.pdf,12300,Concesión ruta el sol,Concesión,74,4514,26
chinauta,CHINAUTA,CHINAUTA,4.26937800000007,-74.500107,Soacha – Girardot Km 52,Girardot - Silvania - Bogotá (Bosa),Sur - Norte // Norte - Sur,51,"1,059",3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,13300,Concesión Vía 40 Express,Concesión,53,4005,12
la-uribe,LA URIBE,LA URIBE,4.25246825100004,-76.118437533,Vía Andalucía – Cerritos Km 12+300,Andalucía - La Paila -La Victoria,Norte – Sur / Sur - Norte,12,296,2238660 - 3155602442,3155602442,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,8400,PISA Proyectos de Infraestructura S.A.,Concesión,155,2506,25
cambao,CAMBAO,CAMBAO,4.94641200000007,-74.719094,VÍA BUCARAMANGA - SAN GIL,San Gil - Bucaramanga,Aplica en ambos sentidos,5,0,3219738507,3219738507,,12800,Concesión Alto Magdalena,Concesión,70,4509,28
la-nevera-no-operativo,LA NEVERA (NO OPERATIVO),LA NEVERA (NO OPERATIVO),5.52491058900006,-72.206138266,Paz de Ariporo - Yopal Km. 34+900,Paz de Ariporo - Yopal,Bidireccional,34,900,,,,,INVIAS,INVIAS,,6513,7
alvarado,ALVARADO,ALVARADO,4.50760900000006,-74.991661,Vía Andalucía – Y de Cerritos PR2506 Km 86,La Victoria - Cartago - Cerritos,Norte-Sur - y - Sur-Norte,19,780,350 666-6375 - 350666-6386,3506666383 - 3506666384 - 3506666385,http://hermes.invias.gov.co/carreteras/images/peajes/alvarado.jpg,13700,Concesionaria Alternativas Viales S.A.S,Concesión,62,4305,24
loboguerrero,LOBOGUERRERO,LOBOGUERRERO,3.76300400000002,-76.6655939999999,VÍA BUENAVENTURA - BUGA KM 63+700 Tramo que cubre: Desde el PR 63+310 en Loboguerrero y finaliza en el PR 118+418 en Buga,Cruce Ruta 40 (Loboguerrero) - Buga,Norte – Sur / Sur - Norte,63,228,3228171095,3228171095,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,10300,CONSORCIO NQS,Concesión,47,4001,25
