"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-76.744136536 8.21002779000003)","CIRILO","Vía turbo - Necoclí","Vía Turbo - Necoclí","Norte - Sur. Sur - Norte","18","70","3105553979 // #979","3105553979 // #979",,"12,100","13,500","13,500","13,500","27,500","35,400","39,700","0","0","0","0","0","0","4,700","0","0","0","0","6,900","0","0","0","0","0","2","134","9001","0","0","0","8.21002779","8.21002779","Concesión Autopistas Urabá","1"
"POINT (-74.898251187 10.9343822760001)","JUAN MINA","Vía La Cordialidad - Galapa","Vía Juan Mina - Las Hermanas","Norte - Sur. Sur - Norte","24,200","0","311 4803629","018000977330",,"8,300","12,300","9,000","15,400","47,600","63,300","70,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","37","25AT04","0","0","0","10.93438228","10.93438228","Concesión Costera Barranquilla - Cartagena","2"
"POINT (-73.9360839999999 4.84165600000006)","SOPÓ","El Salitre - Sopó","Meusa","Sur - Norte","2","0","310 2399451 - #765","313 4609939",,"12,300","19,200","32,200","47,400","64,600","65,300","0","0","0","0","0","0","0","2,200","0","0","0","6,000","11,500","0","0","0","0","0","2","100","50 CN 03","8,700","8,400","6,400","4.84165564","4.84165564","PERIMETRAL ORIENTAL DE BOGOTÁ S.A.S","12"
"POINT (-74.6397259999999 5.45854500000007)","BRISAS","Vía Mediacanoa - Ansermanuevo Km 13","Mediacanoa - Ansermanuevo","(Aplica en ambos sentidos)","7","0","3219738507","3219738507",,"6,400","20,500","28,000","37,400","53,200","85,600","97,900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","63","4510","0","0","8,500","5.42592912","5.42592912","Concesión Alto Magdalena SAS","28"
"POINT (-73.188611598 7.10312711700004)","LEBRIJA","Vía Fortuna - Bucaramanga Km 65+500 Jurisdicción del municipuio de Lebrija","Lebrija - Palenque","Sur - Norte","64","362","Por Definir","3188884392",,"7,200","8,200","19,600","26,000","29,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","125","6602","0","0","0","7.10312712","7.10312712","FINDETER","22"
"POINT (-73.149403777 7.24326752600007)","RÍONEGRO","Vía Bucaramanga - Rionegro Km 13","La cemento - Rionegro","Norte - Sur","13","100","Por Definir","6569259",,"7,200","8,200","19,600","26,000","29,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","157","45A08","0","0","0","7.24326753","7.24326753","FINDETER","22"
"POINT (-75.716599 8.70998500000007)","SAN CARLOS","Vía Montería - San Carlos ubicado sobre el Km -  9+700","Monteria - San Carlos","Aplica en ambos sentidos","9","300","3216177100","Por Definir",,"15,800","23,200","23,200","23,200","24,700","36,000","36,100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","73","3306","0","0","0","8.77265979","8.77265979","Concesión Ruta al Mar","11"
"POINT (-74.797319 4.56443500000006)","GUATAQUÍ","Km 3 Ruta 45","Tramo que cubre la via Guataquí - Cambao - Honda","Aplica en ambos sentidos","3","0","3219738507","3219738507",,"12,800","17,800","24,400","32,600","46,100","74,600","85,200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","69","4508","0","0","0","4.56338247","4.56338247","Concesión Alto Magdalena","12"
"POINT (-76.381091 3.64389600000004)","ROZO","Vía Palmaseca - Cerrito Km 17","Palmaseca - El Cerrito","Norte – Sur","0","0","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/6004.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","4,600","5,000","0","0","0","0","0","0","0","0","0","0","2","17","2505B","10,700","21,200","6,600","3.64385221","3.64385221",,"25"
"POINT (-76.460045 3.15127600000005)","VILLARICA","Kilometro 91 Vía Panamericana Jurisdicción del Municipio de Villa Rica","Popayán - Jamundí","Sur – Norte // Norte – Sur","89","1,314","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5607.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","4,600","5,000","0","0","0","0","5,900","0","0","0","0","0","2","12","2504","10,700","21,200","6,600","3.15123308","3.15123308",,"8"
"POINT (-76.411322 3.75991200000004)","MEDIACANOA","Vía Cali – Mediacanoa Km 36+600","Yumbo - Mediacanoa","Sur - Norte // Norte - Sur","51","848","Por Definir","Por Definir","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/5606.pdf","11,000","13,300","35,300","46,000","53,000","0","0","0","0","0","0","7,100","4,100","0","0","0","0","0","0","0","0","0","0","0","2","3","2301","10,700","21,200","6,600","3.75998593","3.75998593","CONCESION ANI","25"
